experiment_number,cluster_config_type,hbase_config_type,table_config_type,phase,workload_type,total_number_operations,overall_throughput,number_insert_operations,insert_avg_latency,number_read_operations,read_avg_latency,number_update_operations,update_avg_latency,number_scan_operations,scan_avg_latency,number_delete_operations,delete_avg_latency,dfs_capacityUsedGB,dfs_Gegabytes_written,dfs_Gigabytes_read,dfs_block_written,dfs_block_read,dfs_writes_from_remote_client,dfs_writes_from_local_client,dfs_reads_from_remote_client,dfs_reads_from_local_client,dfs_readBlockOp_num_ops,dfs_readBlockOp_avg_time,dfs_writeBlockOp_num_ops,dfs_writeBlockOp_avg_time,dfs_gcTimeMillis,storeFileCount,storeFileSizeGB,hlogFileCount,hlogFileSizeGB,blockCacheFreeSizeGB,blockCacheCount,blockCacheSizeGB,blockCacheHitCount,blockCacheMissCount,blockCacheEvictionCount,rs_gcTimeMillis,numGigaBytesCompactedCount,numFilesCompactedCount,compactionsCompletedCount,rs_ipc_avg_queueSize_in_million,rs_get_mean
209,2,2,1,1,workloada,50000020,20979.279185534033,4999601,13.811089124912169,45000399,1052.7532888763942,20,100202.35,0,0,0,0,14.983154741115868,29.277438385412097,3.7449200581759214,618.0,713.0,309.0,309.0,0.0,713.0,713.0,2781.733520336606,618.0,20002.514563106797,313.0,17.0,3.2125426968559623,32.0,1.735836842097342,3.9604095742106438,84.0,0.012322969734668732,70640003.0,137376.0,123.0,240493.0,212.0329967662692,3121,1026,0.22215517910447763,0.047156956797987655
210,2,2,1,1,workloada,50000020,21339.643038987102,4999519,13.839644373788758,45000481,1034.5750549421905,20,81436.15,0,0,0,0,13.038697846233845,21.67297189310193,0.07201333902776241,472.0,382.0,236.0,236.0,0.0,382.0,382.0,566.9424083769634,472.0,23604.063559322032,271.0,51.0,3.211376461200416,38.0,2.100842710584402,3.957473002374172,112.0,0.01525954157114029,116863677.0,8042.0,2.0,243550.0,0.0,0,0,0.2745366098484849,0.04833130174599314
211,2,2,1,1,workloadc,50000020,16885.708071773715,45000340,11.152360182167513,4999660,11596.04103719053,20,115244.95,0,0,0,0,91.90385656245053,267.7984326854348,104.78973594214767,5480.0,2451457.0,2743.0,2737.0,876830.0,1574627.0,2451457.0,30.339389595656787,5480.0,5939.100182481752,46554.0,98.0,30.90566101204604,29.0,1.5571342119947076,0.0704611986875534,30022.0,1.904010608792305,49527110.0,3587913.0,2416275.0,878733.0,4946.307889495976,62153,7685,2.6913068312883435,3.8484892160036948
212,2,2,1,1,workloadc,50000020,16503.169763816535,45001842,11.248373655460592,4998158,11886.56338455087,20,143567.2,0,0,0,0,88.57829779200256,196.13099583704025,79.99378996063024,4266.0,2668136.0,2141.0,2125.0,1059060.0,1609076.0,2668136.0,8.01458921134455,4266.0,5067.8052039381155,48479.0,476.0,31.038815618492663,27.0,1.43967389408499,0.0851079523563385,30106.0,1.88936385512352,144317983.0,2680490.0,2634679.0,822981.0,0.0,0,0,2.6710226426426424,3.6263366950223745
213,2,2,1,1,workloada,50000020,7186.2146556811485,5000461,14.421534334534355,44999539,3058.0726670999898,20,139595.4,0,0,0,0,11.69533959031105,30.820861164480448,365.3166888859123,658.0,12037508.0,332.0,326.0,10036770.0,2000738.0,12037508.0,1.2804211635830274,658.0,68847.02279635258,377842.0,13.0,3.2639806997030973,13.0,0.6033979328349233,0.03949110209941864,15463.0,0.9596392661333084,115638985.0,12163176.0,12015328.0,1608762.0,877.559777234681,12482,4021,0.13314941046831955,0.592716623739986
214,2,2,1,1,workloada,50000020,8280.856167656202,5002061,15.004013545616496,44997939,2648.78971232438,20,111413.95,0,0,0,0,12.033344879746437,21.488945953547955,360.0707160430029,474.0,12001056.0,237.0,237.0,10373038.0,1628018.0,12001056.0,0.7108591943908936,474.0,69773.88607594937,390461.0,52.0,3.2138824136927724,39.0,2.105929003097117,0.01734928786754608,15854.0,0.981781080365181,166742854.0,12002633.0,11979345.0,1115890.0,0.1263433387503028,3,1,0.15921511514195585,0.505453059064067
215,2,2,1,1,workloadc,50000020,15549.308879868217,44998514,11.539440346852343,5001486,12595.008080598445,20,142228.2,0,0,0,0,91.44048278778791,271.746107224375,79.46061420626938,5560.0,1906221.0,2780.0,2780.0,362696.0,1543525.0,1906221.0,37.347992179290856,5560.0,6386.9579136690645,49717.0,119.0,30.978271195665002,26.0,1.3822126649320126,0.44239968806505203,119156.0,7.407910637557507,54826175.0,2836280.0,1774466.0,1188728.0,5613.305267429911,66607,9222,2.9492350812249097,3.670946355052504
216,2,2,1,1,workloadc,50000020,15413.407630068352,45001164,11.540795011435705,4998836,12748.190003832893,20,154957.0,0,0,0,0,86.95141600631177,195.96996901743114,59.08869719225913,4278.0,1971947.0,2139.0,2139.0,396721.0,1575226.0,1971947.0,10.150733260072405,4278.0,5520.968676951847,53603.0,476.0,30.977196258492768,31.0,1.6864290032535791,0.11196675151586533,124850.0,7.738343574106693,145383610.0,1983911.0,1844019.0,1343456.0,0.0,0,0,2.6629989428304284,3.3227689208126865
217,2,2,1,1,workloadc,50000020,15577.71676159208,45000551,11.630802276176574,4999449,12635.556794958804,20,109823.7,0,0,0,0,95.87388654891402,270.5826164726168,79.00503381434828,5530.0,1885821.0,2765.0,2765.0,3.0,1885818.0,1885821.0,38.98314262064109,5530.0,6410.495840867993,53310.0,121.0,30.945421014912426,24.0,1.2644262947142124,0.16825264692306519,123605.0,7.682057678699493,50232930.0,2792380.0,1747295.0,1153647.0,5546.193191186525,67880,8879,2.736106600508288,3.6786357025582013
218,2,2,1,1,workloadc,50000020,15095.884529767725,44999662,12.144839265681595,5000338,12978.026111434867,20,497184.15,0,0,0,0,86.9051815867424,195.91346240602434,59.382429368793964,4262.0,1981755.0,2131.0,2131.0,542920.0,1438835.0,1981755.0,9.905629101478235,4262.0,5604.6114500234635,53115.0,475.0,30.942934517748654,26.0,1.3819057820364833,0.2902628555893898,121960.0,7.560047470033169,145355772.0,1994345.0,1856758.0,1185958.0,0.0,0,0,3.4594958518005545,3.483626413277408
219,2,2,1,1,workloadc,50000020,15970.532451163708,45000910,11.467212729698133,4999090,12320.752321722553,20,144297.55,0,0,0,0,92.29117731191218,272.2198768593371,95.42024110723287,5576.0,2192119.0,2788.0,2788.0,403784.0,1788335.0,2192119.0,35.6894830983172,5576.0,6161.222381635581,50291.0,95.0,30.945434930734336,27.0,1.4547342089936137,0.16750525683164597,60800.0,3.8052272871136665,48638720.0,3288751.0,2122710.0,969133.0,5512.735912563279,66913,8573,2.6567946555232558,3.8509301213403964
220,2,2,1,1,workloadc,50000020,16611.499875579866,45001586,11.386896475159787,4998414,11815.628943700942,20,101278.3,0,0,0,0,88.02565223351121,195.8897400982678,70.69178454577923,4252.0,2361354.0,2126.0,2126.0,892804.0,1468550.0,2361354.0,9.578743805460766,4252.0,5151.992238946378,51588.0,479.0,30.932108659297228,25.0,1.3316389936953783,0.14259731769561768,61546.0,3.830135226249695,145180088.0,2373416.0,2296563.0,930186.0,0.0,0,0,2.8274738232628396,3.6199471364396767
221,2,2,1,1,workloadc,50000020,16167.490023041906,44999710,11.321744029017076,5000290,12146.308130928406,20,120848.2,0,0,0,0,93.71565344184637,270.7389722811058,113.29775780811906,5560.0,2659953.0,2785.0,2775.0,926319.0,1733634.0,2659953.0,29.81623397105138,5560.0,6061.437949640288,53322.0,99.0,30.946544026955962,28.0,1.512308120727539,0.09449977427721024,13849.0,0.9046305939555168,49529990.0,3890260.0,2640658.0,889449.0,5315.632496057078,64430,8188,2.5197381959092486,4.078610650484886
222,2,2,1,1,workloadc,50000020,16439.473147764562,44998516,11.133270217177829,5001484,11943.766135610951,20,121044.85,0,0,0,0,88.47503549791873,196.01772134937346,86.94273990299553,4282.0,2898693.0,2150.0,2132.0,1526602.0,1372091.0,2898693.0,7.733974587857355,4282.0,5100.158103689864,51125.0,477.0,31.009353261440992,32.0,1.7376802125945687,0.018890254199504852,15377.0,0.9802401140332222,144782759.0,2910206.0,2879811.0,830530.0,0.0,0,0,2.5559187290419163,3.9280773225710073
