experiment_number,cluster_config_type,hbase_config_type,table_config_type,phase,workload_type,total_number_operations,overall_throughput,number_insert_operations,insert_avg_latency,number_read_operations,read_avg_latency,number_update_operations,update_avg_latency,number_scan_operations,scan_avg_latency,number_delete_operations,delete_avg_latency,dfs_capacityUsed,dfs_bytes_written,dfs_bytes_read,dfs_writes_from_remote_client,dfs_writes_from_local_client,dfs_reads_from_remote_client,dfs_reads_from_local_client,dfs_readBlockOp_num_ops,dfs_readBlockOp_avg_time,dfs_writeBlockOp_num_ops,dfs_writeBlockOp_avg_time,storeFileCount,storeFileSize,hlogFileCount,hlogFileSize,blockCacheCount,blockCacheSize,blockCacheHitCount,blockCacheMissCount,blockCacheEvictionCount,numBytesCompactedCount,numFilesCompactedCount,compactionsCompletedCount,rs_ipc_avg_queueSize
60,2,2,1,1,workloadc,10000020,23472.36012233794,9000716,14.719349327320183,999284,8165.174602015043,20,378388.6,0,0,0,0,41630170862.0,42390528676.0,4725839672.0,436.0,436.0,0.0,0.0,147215.0,8.48170731707317,872.0,8235.25,86.0,6436600891.0,27.0,1563526250.0,118416.0,7856820208.0,5285644.0,161512.0,28251.0,0,0,0,3951027.5121951224
61,2,2,1,1,workloadc,10000020,19965.619203731174,8999166,14.865687442591902,1000834,9581.123846711842,20,544074.1,0,0,0,0,45638083714.0,50674712332.0,8042817770.0,503.0,504.0,0.0,0.0,201818.0,1730.641577060932,1007.0,18201.5,51.0,6431713079.0,30.0,1771603701.0,78147.0,5192599392.0,4474811.0,243126.0,116964.0,70086185603,840,233,3111492.788888889
62,2,2,1,1,workloadc,10000020,25460.387456176308,9000335,17.3441318573142,999665,7413.489480976127,20,353443.5,0,0,0,0,48498630022.0,50659614926.0,7616238573.0,520.0,520.0,0.0,0.0,194015.0,945.8855613183874,1040.0,14733.0,55.0,6440969839.0,30.0,1764830665.0,91711.0,6091486104.0,4716788.0,236380.0,95842.0,50153239583,677,164,2872472.759493671
63,2,2,1,1,workloadc,10000020,27686.10600456267,8999895,14.789192318354825,1000105,6848.795004524525,20,348367.1,0,0,0,0,42020818438.0,42388558216.0,4562655490.0,444.0,444.0,0.0,0.0,142176.0,15.649363321061653,888.0,8645.931818181818,91.0,6432054293.0,30.0,1755328579.0,126190.0,8371030224.0,5847360.0,156697.0,15416.0,0,0,0,2894988.2039473685
64,2,2,1,1,load,10000020,16087.28316353206,10000000,1006.1742831,0,0,20,2774189.8,0,0,0,0,61629391952.0,66307917606.0,3734734585.0,737.0,737.0,0.0,0.0,614.0,36849.875,1474.0,14451.0,59.0,6678159618.0,69.0,4683210462.0,7.0,9249912.0,28515.0,129186.0,23.0,75406261368,1402,406,124164619.21039604
65,2,2,1,1,load,10000020,16786.43790109095,10000000,1086.9874558,0,0,20,7319424.65,0,0,0,0,61565628304.0,68440072636.0,4200354215.0,770.0,770.0,0.0,0.0,741.0,20539.666666666668,1540.0,14866.35,55.0,6882389748.0,58.0,3997377058.0,7.0,9032136.0,17507.0,162712.0,11.0,83895733758,1654,466,28682438.277227722
66,2,2,1,1,load,10000020,18044.125103528168,10000000,1040.8888472,0,0,20,6786926.55,0,0,0,0,55865888381.0,56673803662.0,280797738.0,634.0,634.0,0.0,0.0,510.0,2.125,1268.0,10826.952380952382,87.0,6866852682.0,57.0,3827497964.0,4.0,8728432.0,1268.0,14095.0,7.0,0,0,0,67081410.663157895
67,2,2,1,1,load,10000020,19919.60447633352,10000000,937.6208736,0,0,20,2530323.1,0,0,0,0,59257390436.0,62072163398.0,3225570013.0,692.0,691.0,0.0,0.0,691.0,38788.333333333336,1383.0,16288.566666666666,51.0,6472192097.0,64.0,4539108455.0,9.0,9386896.0,20174.0,116075.0,15.0,55474822228,1015,308,21386298.166666664
68,2,2,1,1,load,10000020,14110.920300111053,10000000,1268.182596,0,0,20,6105471.55,0,0,0,0,77268184136.0,86474747385.0,5634214226.0,961.0,960.0,0.0,0.0,856.0,19394.785714285714,1921.0,14522.742857142857,53.0,7239228860.0,54.0,3665092549.0,10.0,9518576.0,38629.0,192262.0,30.0,127235112722,2267,629,28581555.076576576
69,2,2,1,1,load,10000020,19432.26689052638,10000000,823.0019314,0,0,20,6134307.6,0,0,0,0,61108214822.0,61370469440.0,69375893.0,691.0,691.0,0.0,0.0,468.0,2.0,1382.0,7825.625,79.0,6916742113.0,54.0,3946424455.0,4.0,8728360.0,5049.0,15142.0,5.0,0,0,0,19548229.626373626
